item_code,item_description,item_type,total_sales,liquor_type
23892,THREE OLIVES VODKA - CHERRY - 750ML,LIQUOR,4.720000000000001,VODKA
23892,THREE OLIVES VODKA - CHERRY - 750ML,LIQUOR,4.12,VODKA
23892,THREE OLIVES VODKA - CHERRY - 750ML,LIQUOR,3.71,VODKA
23892,THREE OLIVES VODKA - CHERRY - 750ML,LIQUOR,1.74,VODKA
23892,THREE OLIVES VODKA - CHERRY - 750ML,LIQUOR,1.07,VODKA
23892,THREE OLIVES VODKA - CHERRY - 750ML,LIQUOR,0.67,VODKA
238930,MAKER'S MARK PRIVATE SEL EXCLUSIVE FOR MOCO - 750ML,LIQUOR,36.15,OTHER
238930,MAKER'S MARK PRIVATE SEL EXCLUSIVE FOR MOCO - 750ML,LIQUOR,1.19,OTHER
238984,JW RUTLEDGE CREAM OF KY STRAIGHT BOURB - 750ML,LIQUOR,1.36,OTHER
238984,JW RUTLEDGE CREAM OF KY STRAIGHT BOURB - 750ML,LIQUOR,1.36,OTHER
239000,JINRO CHAMISOL SOJU (FRESH) - 375ML,LIQUOR,30.55,OTHER
239000,JINRO CHAMISOL SOJU (FRESH) - 375ML,LIQUOR,43.6,OTHER
239000,JINRO CHAMISOL SOJU (FRESH) - 375ML,LIQUOR,39.6,OTHER
239000,JINRO CHAMISOL SOJU (FRESH) - 375ML,LIQUOR,32.45,OTHER
239002,JINRO CHAMISUL ORIGINAL SOJU - 375ML,LIQUOR,28.45,GIN
239002,JINRO CHAMISUL ORIGINAL SOJU - 375ML,LIQUOR,43.5,GIN
239002,JINRO CHAMISUL ORIGINAL SOJU - 375ML,LIQUOR,28.4,GIN
239002,JINRO CHAMISUL ORIGINAL SOJU - 375ML,LIQUOR,37.85,GIN
239088,OLD ELK NOOKU BOURBON CREAM - 750ML,LIQUOR,0.17,WHISKY
239088,OLD ELK NOOKU BOURBON CREAM - 750ML,LIQUOR,2.21,WHISKY
239088,OLD ELK NOOKU BOURBON CREAM - 750ML,LIQUOR,1.87,WHISKY
239088,OLD ELK NOOKU BOURBON CREAM - 750ML,LIQUOR,1.02,WHISKY
239090,PB&W PEANUT BUTTER FLAVORED WHISKEY - 750ML,LIQUOR,1.32,WHISKY
239090,PB&W PEANUT BUTTER FLAVORED WHISKEY - 750ML,LIQUOR,2.66,WHISKY
239090,PB&W PEANUT BUTTER FLAVORED WHISKEY - 750ML,LIQUOR,1.22,WHISKY
239090,PB&W PEANUT BUTTER FLAVORED WHISKEY - 750ML,LIQUOR,0.88,WHISKY
239092,OLD ELK BLENDED STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,1.02,WHISKY
239092,OLD ELK BLENDED STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,2.88,WHISKY
239092,OLD ELK BLENDED STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,1.87,WHISKY
239092,OLD ELK BLENDED STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,1.87,WHISKY
239094,OLD ELK NOOKU BOURB CREAM PEPPERMINT - 750ML,LIQUOR,0.34,OTHER
239202,WHITLEY NEILL DRY GIN - 750ML,LIQUOR,3.06,GIN
239202,WHITLEY NEILL DRY GIN - 750ML,LIQUOR,2.21,GIN
239202,WHITLEY NEILL DRY GIN - 750ML,LIQUOR,1.18,GIN
239204,WHITLEY NEILL RHUBARB & GINGER GIN - 750ML,LIQUOR,7.63,GIN
239204,WHITLEY NEILL RHUBARB & GINGER GIN - 750ML,LIQUOR,7.28,GIN
239204,WHITLEY NEILL RHUBARB & GINGER GIN - 750ML,LIQUOR,5.75,GIN
239224,CATOCTIN CREEK RABBLE ROUSER RYE WHISKY BTL IN BOND - 750ML,LIQUOR,1.86,WHISKY
239224,CATOCTIN CREEK RABBLE ROUSER RYE WHISKY BTL IN BOND - 750ML,LIQUOR,0.51,WHISKY
239226,MILK & HONEY WHISKY IN BLOOM YOUNG SINGLE MALT DOUBLE CASK KOS - 750ML,LIQUOR,0.17,WHISKY
239226,MILK & HONEY WHISKY IN BLOOM YOUNG SINGLE MALT DOUBLE CASK KOS - 750ML,LIQUOR,0.17,WHISKY
239236,SPRINGBANK 15YR SINGLE MALT SCOTCH WHISKY - 750ML,LIQUOR,0.17,WHISKY
23930,LANDY COGNAC VS - 750ML,LIQUOR,4.93,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,3.55,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,5.26,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,8.31,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,3.23,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,4.92,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,9.35,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,5.77,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,5.76,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,5.08,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,4.73,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,4.73,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,3.91,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,4.42,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,5.6,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,3.56,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,2.72,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,3.89,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,5.26,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,5.25,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,4.89,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,2.55,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,3.22,COGNAC
23930,LANDY COGNAC VS - 750ML,LIQUOR,3.91,COGNAC
239314,CASONI AMARO DEL CICLISTA LIQ - 750ML,LIQUOR,1,OTHER
239316,PIUCINQUE GIN - 750ML,LIQUOR,1,GIN
239400,PLUME & PETAL PEACH WAVE VODKA - 750ML,LIQUOR,6.28,VODKA
239400,PLUME & PETAL PEACH WAVE VODKA - 750ML,LIQUOR,2.55,VODKA
239402,PLUME & PETAL LEMON DRIFT VODKA - 750ML,LIQUOR,5.94,VODKA
239402,PLUME & PETAL LEMON DRIFT VODKA - 750ML,LIQUOR,1.87,VODKA
239404,PLUME & PETAL CUCUMBER SPLASH VODKA - 750ML,LIQUOR,6.26,VODKA
239404,PLUME & PETAL CUCUMBER SPLASH VODKA - 750ML,LIQUOR,2.21,VODKA
239406,FOUNDING SPIRITS DRY GIN - 1L,LIQUOR,5,GIN
239406,FOUNDING SPIRITS DRY GIN - 1L,LIQUOR,2,GIN
239448,BACARDI LIME & SODA RTD 6/4PK - 355ML,LIQUOR,13.37,OTHER
239448,BACARDI LIME & SODA RTD 6/4PK - 355ML,LIQUOR,4.75,OTHER
239450,BACARDI RUM PUNCH RTD 6/4PK - 355ML,LIQUOR,8.41,RUM
239450,BACARDI RUM PUNCH RTD 6/4PK - 355ML,LIQUOR,6.43,RUM
239462,BARDSTOWN BOURB CO FUSION SERIES KY STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,1.53,WHISKY
239462,BARDSTOWN BOURB CO FUSION SERIES KY STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,5.43,WHISKY
239462,BARDSTOWN BOURB CO FUSION SERIES KY STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,3.91,WHISKY
239464,BARDSTOWN BOURB CO DISCOVERY SERIES KY STRAIGHT BOURB WHISKEY - 750ML,LIQUOR,0,WHISKY
